TIPO DE TRANSPORTE;Ciudad;Viajeros y tasas;Periodo;Total
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2022M01;12.695
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2022M02;14.153
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2022M03;16.698
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2022M04;15.155
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2022M05;17.259
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2022M06;15.907
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2022M07;15.744
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2022M08;12.268
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2022M09;16.104
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2022M10;17.774
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2022M11;17.387
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2022M12;14.974
Transporte urbano regular por autobús;48020 Bilbao;Viajeros transportados;2022M01;2.367
Transporte urbano regular por autobús;48020 Bilbao;Viajeros transportados;2022M02;2.493
Transporte urbano regular por autobús;48020 Bilbao;Viajeros transportados;2022M03;2.861
Transporte urbano regular por autobús;48020 Bilbao;Viajeros transportados;2022M04;2.359
Transporte urbano regular por autobús;48020 Bilbao;Viajeros transportados;2022M05;2.780
Transporte urbano regular por autobús;48020 Bilbao;Viajeros transportados;2022M06;2.647
Transporte urbano regular por autobús;48020 Bilbao;Viajeros transportados;2022M07;2.116
Transporte urbano regular por autobús;48020 Bilbao;Viajeros transportados;2022M08;1.898
Transporte urbano regular por autobús;48020 Bilbao;Viajeros transportados;2022M09;2.622
Transporte urbano regular por autobús;48020 Bilbao;Viajeros transportados;2022M10;2.868
Transporte urbano regular por autobús;48020 Bilbao;Viajeros transportados;2022M11;2.979
Transporte urbano regular por autobús;48020 Bilbao;Viajeros transportados;2022M12;2.921
Transporte urbano regular por autobús;28079 Madrid;Viajeros transportados;2022M01;26.723
Transporte urbano regular por autobús;28079 Madrid;Viajeros transportados;2022M02;29.768
Transporte urbano regular por autobús;28079 Madrid;Viajeros transportados;2022M03;35.376
Transporte urbano regular por autobús;28079 Madrid;Viajeros transportados;2022M04;30.259
Transporte urbano regular por autobús;28079 Madrid;Viajeros transportados;2022M05;33.681
Transporte urbano regular por autobús;28079 Madrid;Viajeros transportados;2022M06;32.514
Transporte urbano regular por autobús;28079 Madrid;Viajeros transportados;2022M07;25.225
Transporte urbano regular por autobús;28079 Madrid;Viajeros transportados;2022M08;20.453
Transporte urbano regular por autobús;28079 Madrid;Viajeros transportados;2022M09;33.935
Transporte urbano regular por autobús;28079 Madrid;Viajeros transportados;2022M10;36.342
Transporte urbano regular por autobús;28079 Madrid;Viajeros transportados;2022M11;36.084
Transporte urbano regular por autobús;28079 Madrid;Viajeros transportados;2022M12;32.808
Transporte urbano regular por autobús;29067 Málaga;Viajeros transportados;2022M01;2.481
Transporte urbano regular por autobús;29067 Málaga;Viajeros transportados;2022M02;2.627
Transporte urbano regular por autobús;29067 Málaga;Viajeros transportados;2022M03;3.143
Transporte urbano regular por autobús;29067 Málaga;Viajeros transportados;2022M04;3.275
Transporte urbano regular por autobús;29067 Málaga;Viajeros transportados;2022M05;3.327
Transporte urbano regular por autobús;29067 Málaga;Viajeros transportados;2022M06;3.354
Transporte urbano regular por autobús;29067 Málaga;Viajeros transportados;2022M07;3.232
Transporte urbano regular por autobús;29067 Málaga;Viajeros transportados;2022M08;3.648
Transporte urbano regular por autobús;29067 Málaga;Viajeros transportados;2022M09;3.530
Transporte urbano regular por autobús;29067 Málaga;Viajeros transportados;2022M10;3.689
Transporte urbano regular por autobús;29067 Málaga;Viajeros transportados;2022M11;3.633
Transporte urbano regular por autobús;29067 Málaga;Viajeros transportados;2022M12;3.501
Transporte urbano regular por autobús;41091 Sevilla;Viajeros transportados;2022M01;4.792
Transporte urbano regular por autobús;41091 Sevilla;Viajeros transportados;2022M02;5.160
Transporte urbano regular por autobús;41091 Sevilla;Viajeros transportados;2022M03;6.264
Transporte urbano regular por autobús;41091 Sevilla;Viajeros transportados;2022M04;6.167
Transporte urbano regular por autobús;41091 Sevilla;Viajeros transportados;2022M05;6.479
Transporte urbano regular por autobús;41091 Sevilla;Viajeros transportados;2022M06;5.402
Transporte urbano regular por autobús;41091 Sevilla;Viajeros transportados;2022M07;4.098
Transporte urbano regular por autobús;41091 Sevilla;Viajeros transportados;2022M08;3.376
Transporte urbano regular por autobús;41091 Sevilla;Viajeros transportados;2022M09;5.713
Transporte urbano regular por autobús;41091 Sevilla;Viajeros transportados;2022M10;6.569
Transporte urbano regular por autobús;41091 Sevilla;Viajeros transportados;2022M11;6.517
Transporte urbano regular por autobús;41091 Sevilla;Viajeros transportados;2022M12;5.988
Transporte urbano regular por autobús;46250 València;Viajeros transportados;2022M01;5.083
Transporte urbano regular por autobús;46250 València;Viajeros transportados;2022M02;5.179
Transporte urbano regular por autobús;46250 València;Viajeros transportados;2022M03;6.509
Transporte urbano regular por autobús;46250 València;Viajeros transportados;2022M04;5.794
Transporte urbano regular por autobús;46250 València;Viajeros transportados;2022M05;6.991
Transporte urbano regular por autobús;46250 València;Viajeros transportados;2022M06;6.815
Transporte urbano regular por autobús;46250 València;Viajeros transportados;2022M07;6.226
Transporte urbano regular por autobús;46250 València;Viajeros transportados;2022M08;5.062
Transporte urbano regular por autobús;46250 València;Viajeros transportados;2022M09;6.997
Transporte urbano regular por autobús;46250 València;Viajeros transportados;2022M10;7.453
Transporte urbano regular por autobús;46250 València;Viajeros transportados;2022M11;7.644
Transporte urbano regular por autobús;46250 València;Viajeros transportados;2022M12;7.210
